request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_183,22980837.3,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,reduce_to:event_16815:365560,"Use 3 installments of IDR 9,313,546.67, starting 2026-04-10. This leaves at least IDR 11,878,300 available."
request_184,8154.19,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the INR 110,800 minimum protected."
request_185,326.47,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 2026-01-15. Paying earlier would take the balance below the EUR 1,300.00 minimum."
request_186,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the ZAR 22,000.00 minimum protected."
request_187,38016.22,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Pay INR 187,500 in full on 2024-11-15. Paying earlier would take the balance below the INR 128,300 minimum."
request_188,106.88,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the EUR 900.00 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400.00 available over the next 90 days.
request_190,451.92,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Pay EUR 2,557.50 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1,600.00 minimum."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500.00 available over the next 90 days.
request_192,112.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-05-11. None of the available options keeps the USD 1,000.00 minimum protected."
request_193,28.6,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1,000.00 available."
request_194,34330.22,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Pay INR 132,800 in full on 2025-10-23. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,637.17,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-11. None of the available options keeps the EUR 700.00 minimum protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500.00 available over the next 90 days.
request_197,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-21. None of the available options keeps the IDR 26,245,900 minimum protected."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 2024-09-07. This leaves at least IDR 25,359,500 available."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,22533173.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-05-16. None of the available options keeps the IDR 17,304,500 minimum protected."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1018.68,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,,reduce_to:event_18728:38|reduce_to:event_18663:35|stop:event_18662,"Use 3 installments of EUR 499.93, starting 2025-05-10. This leaves at least EUR 1,400.00 available."
request_204,577.82,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Pay EUR 588.74 in full on 2026-01-15. Paying earlier would take the balance below the EUR 1,300.00 minimum."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This leaves at least EUR 900.00 available."
request_207,4357.09,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830.00 in full on 2026-07-15. Paying earlier would take the balance below the ZAR 13,600.00 minimum."
request_208,3090213.24,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000 in full on 2024-06-15. Paying earlier would take the balance below the IDR 10,470,700 minimum."
request_209,1654.72,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 18,400.00 minimum protected."
request_210,825.21,affordable_with_plan,partial_payment,2026-04-06:825.21|2026-04-15:534.81,2026-04-15,none,"Pay USD 825.21 today and the remaining USD 534.81 on 2026-04-15. This completes the full request and keeps the USD 2,000.00 minimum protected."
request_211,279.21,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Pay EUR 1,788.60 in full on 2024-11-15. Paying earlier would take the balance below the EUR 1,500.00 minimum."
request_212,3849388.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-28. None of the available options keeps the IDR 29,579,800 minimum protected."
request_213,2137.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-22. None of the available options keeps the USD 2,100.00 minimum protected."
request_214,40667.57,affordable_with_plan,partial_payment,2024-12-04:40667.57|2024-12-15:29082.43,2024-12-15,none,"Pay INR 40,667.57 today and the remaining INR 29,082.43 on 2024-12-15. This completes the full request and keeps the INR 174,900 minimum protected."
request_215,28392.48,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,,reduce_to:event_19803:390.50|reduce_to:event_19802:271.70|stop:event_19801,"Use 3 installments of ZAR 10,395.15, starting 2025-05-09. This leaves at least ZAR 15,700.00 available."
request_216,474.25,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Pay USD 3,332.40 in full on 2026-09-15. Paying earlier would take the balance below the USD 1,800.00 minimum."
request_217,19409.2,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12,889.07, starting 2024-03-19. This leaves at least ZAR 26,800.00 available."
request_218,24395743.47,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 2025-08-07. This leaves at least IDR 34,477,200 available."
request_219,697.31,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07. This leaves at least EUR 1,100.00 available."
request_220,67.75,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-03. None of the available options keeps the EUR 1,100.00 minimum protected."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078.00 today. This leaves at least ZAR 27,300.00 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800.00 available over the next 90 days.
request_224,9830146.22,affordable_with_plan,partial_payment,2025-02-04:9830146.22|2025-02-15:496853.78,2025-02-15,none,"Pay IDR 9,830,146.22 today and the remaining IDR 496,853.78 on 2025-02-15. This completes the full request and keeps the IDR 22,187,600 minimum protected."
request_225,9513191.0,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7,647,120, starting 2026-07-20. This leaves at least IDR 17,670,700 available."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 209,400 available over the next 90 days."
request_227,6971.97,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-20. None of the available options keeps the INR 62,900 minimum protected."
request_228,1670427.66,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-04-30. None of the available options keeps the IDR 26,191,200 minimum protected."
request_229,431.57,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1,000.00 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000.00 available over the next 90 days."
request_231,30918.09,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,none,"Use 3 installments of ZAR 12,378.08, starting 2026-01-06. This leaves at least ZAR 24,300.00 available."
request_232,494.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 2,400.00 minimum protected."
request_233,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-12-17. None of the available options keeps the IDR 10,365,700 minimum protected."
request_234,178.26,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 2026-09-15. Paying earlier would take the balance below the EUR 700.00 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700.00 available over the next 90 days.
request_236,6062259.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-23. None of the available options keeps the IDR 16,768,600 minimum protected."
request_237,21946974.38,affordable_with_plan,full_payment,2026-04-05:23826000,,reduce_to:event_21813:548720,"reduce_to:event_21813:548720, then pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07. This leaves at least USD 700.00 available."
request_239,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-05-24. None of the available options keeps the USD 600.00 minimum protected.
request_240,13808.98,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-20. None of the available options keeps the INR 52,800 minimum protected."
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 2024-03-17. This leaves at least IDR 19,252,000 available."
request_242,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-25. None of the available options keeps the EUR 600.00 minimum protected.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468.00 today. This leaves at least ZAR 19,900.00 available over the next 90 days."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918.00 today. This leaves at least ZAR 45,900.00 available over the next 90 days."
request_245,25688.83,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Pay INR 128,500 in full on 2026-01-15. Paying earlier would take the balance below the INR 94,600 minimum."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 2026-04-03. This leaves at least ZAR 39,300.00 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300.00 available over the next 90 days."
request_248,935.94,affordable_with_plan,partial_payment,2025-02-07:935.94|2025-04-15:1029.66,2025-04-15,none,"Pay USD 935.94 today and the remaining USD 1,029.66 on 2025-04-15. This completes the full request and keeps the USD 1,300.00 minimum protected."
request_249,108.3,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. None of the available options keeps the USD 600.00 minimum protected.
request_250,15571.41,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-18. None of the available options keeps the ZAR 35,300.00 minimum protected."
request_251,54.69,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-06. None of the available options keeps the EUR 1,300.00 minimum protected."
request_252,3686996.2,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1373.64,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21. This leaves at least EUR 2,300.00 available."
request_254,632.23,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.20 in full on 2025-10-15. Paying earlier would take the balance below the USD 2,500.00 minimum."
request_255,634943.69,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the IDR 9,813,900 minimum protected."
request_256,153149.18,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75,816, starting 2024-06-10. This leaves at least INR 168,600 available."
request_257,305.59,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Pay USD 1,352.40 in full on 2026-01-15. Paying earlier would take the balance below the USD 1,600.00 minimum."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500.00 available over the next 90 days."
request_259,213.94,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935.00 in full on 2024-11-15. Paying earlier would take the balance below the EUR 600.00 minimum.
request_260,6111919.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-18. None of the available options keeps the IDR 20,727,700 minimum protected."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500.00 available over the next 90 days."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,5782.06,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-15. None of the available options keeps the ZAR 24,100.00 minimum protected."
request_264,23012.52,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300 in full on 2026-06-15. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-03-21. None of the available options keeps the INR 189,700 minimum protected."
request_266,780.1,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13, starting 2025-08-03. This leaves at least EUR 900.00 available."
request_267,1647.29,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,stop:event_24573,"Use 3 installments of EUR 667.33, starting 2026-01-08. This leaves at least EUR 1,500.00 available."
request_268,1035.8,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1,400.00 available."
request_269,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-02. None of the available options keeps the ZAR 23,100.00 minimum protected."
request_270,105.96,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-30. None of the available options keeps the USD 1,400.00 minimum protected."
request_271,13494.94,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Pay INR 91,300 in full on 2024-11-15. Paying earlier would take the balance below the INR 58,200 minimum."
request_272,5447562.49,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4,709,466.67, starting 2025-02-12. This leaves at least IDR 7,508,600 available."
request_273,9594686.31,affordable_with_plan,partial_payment,2026-04-07:9594686.31|2026-04-15:6266313.69,2026-04-15,none,"Pay IDR 9,594,686.31 today and the remaining IDR 6,266,313.69 on 2026-04-15. This completes the full request and keeps the IDR 18,774,600 minimum protected."
request_274,2168.26,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-15,none,"Use 3 installments of EUR 940.75, starting 2024-12-04. This leaves at least EUR 1,800.00 available."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
